Date & Time,Amount Outgoing (Yen),Amount Incoming (Yen),Amount Outgoing Overseas,Currency,Exchange Rate (Yen),Country Paid In,Transaction Type,Business Name,Method,Payment Option,User,Transaction ID
2025/11/24 15:48:44,"1,800",-,-,-,-,-,Payment,イオンリテール - イオンレイクタウンmori,Credit Mastercard 5298,-,-,04851778221051437061
2025/11/24 12:51:54,"1,560",-,-,-,-,-,Payment,しまぐるランド イオンレイクタウンmori - しまぐるランド イオンレイクタウンmori,Credit Mastercard 5298,-,-,04851687090435375104
2025/11/24 12:30:32,420,-,-,-,-,-,Payment,サーティワン アイスクリーム - イオンレイクタウン,Credit Mastercard 5298,-,-,04851676069549244421
2025/11/24 11:46:43,980,-,-,-,-,-,Payment,ヤクルト届けてネット（埼玉東部）,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025112411464300766587
2025/11/24 11:12:29,550,-,-,-,-,-,Payment,イオンリテール - イオンレイクタウンmori,Credit Mastercard 5298,-,-,04851635842885615624
2025/11/24 10:50:51,900,-,-,-,-,-,Payment,イオンリテール - イオンレイクタウンmori,Credit Mastercard 5298,-,-,04851624693150384134
2025/11/24 10:50:15,940,-,-,-,-,-,Payment,宝くじ公式サイト,Credit Mastercard 5298,-,-,04851624392502525953
2025/11/23 17:15:04,"12,237",-,-,-,-,-,Payment,ジヤパンミートコシガヤテン,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025112317150400743854
2025/11/23 15:10:39,-,16,-,-,-,-,"Points, Balance Earned",ヤクルト届けてネット（埼玉東部）,PayPay Point,-,-,PPCD_A_2025111711453700509972
2025/11/23 12:30:32,-,148,-,-,-,-,"Points, Balance Earned",焼肉レストラン 安楽亭,PayPay Point,-,-,04850933907789807617
2025/11/23 12:30:32,"7,554",-,-,-,-,-,Payment,焼肉レストラン 安楽亭 - 下間久里店,Credit Mastercard 5298,-,-,04850933907789807617
2025/11/23 06:28:34,-,1,-,-,-,-,"Points, Balance Earned",Yahoo!ズバトク,PayPay Point,-,-,lp-121904701032398848-c_cc03a7e0-4dd5-4a05-8bcf-b25a2a0a4827
2025/11/23 06:26:55,-,144,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,lp-102895974642327552-c_9018e404-b54f-40a0-aae2-5d35d0906a28_sppf
2025/11/23 06:26:54,"14,177",-,-,-,-,-,Payment,Yahoo!ショッピング,"PayPay Point (76yen), Credit Mastercard 5298 (14,101yen)",-,-,04850746492596928514
2025/11/23 00:20:25,-,24,-,-,-,-,"Points, Balance Earned",PayPayほけん,PayPay Point,-,-,04850557599935381507
2025/11/23 00:20:25,"1,300",-,-,-,-,-,Payment,PayPayほけん,Credit Mastercard 5298,-,-,04850557599935381507
2025/11/23 00:00:00,880,-,-,-,-,-,Payment,ＥＴＣカード売上,PayPay Card Gold Mastercard 9092,One-time Payment,Personal Use,PPCD_C_202512160700003559040958
2025/11/23 00:00:00,400,-,-,-,-,-,Payment,ＥＴＣカード売上,PayPay Card Gold Mastercard 9092,One-time Payment,Personal Use,PPCD_C_202512160700003559040955
2025/11/23 00:00:00,"1,240",-,-,-,-,-,Payment,ＥＴＣカード売上,PayPay Card Gold Mastercard 9092,One-time Payment,Personal Use,PPCD_C_202512160700003559040953
2025/11/23 00:00:00,860,-,-,-,-,-,Payment,ＥＴＣカード売上,PayPay Card Gold Mastercard 9092,One-time Payment,Personal Use,PPCD_C_202512160700003559040957
2025/11/23 00:00:00,"1,750",-,-,-,-,-,Payment,ＥＴＣカード売上,PayPay Card Gold Mastercard 9092,One-time Payment,Personal Use,PPCD_C_202512160700003559040954
2025/11/23 00:00:00,"1,630",-,-,-,-,-,Payment,ＥＴＣカード売上,PayPay Card Gold Mastercard 9092,One-time Payment,Personal Use,PPCD_C_202512160700003559040956
2025/11/22 14:17:38,-,76,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,lp-102895974642327552-c_08f98c80-d971-4472-99e6-23fa8111cd08_sppf
2025/11/22 14:17:38,"7,300",-,-,-,-,-,Payment,Yahoo!ショッピング,"PayPay Point (76yen), Credit Mastercard 5298 (7,224yen)",-,-,04850246927771394051
2025/11/22 00:43:07,-,111,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,04847843060345569281
2025/11/21 22:02:15,-,120,-,-,-,-,"Points, Balance Earned",宝くじ公式サイト,PayPay Point,-,-,04849744210439479296
2025/11/21 22:02:14,"6,000",-,-,-,-,-,Payment,宝くじ公式サイト,Credit Mastercard 5298,-,-,04849744210439479296
2025/11/21 19:38:37,"2,400",-,-,-,-,-,Payment,ミツイガーデンホテルギンザプレミア,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025112119383700850044
2025/11/21 18:37:45,-,140,-,-,-,-,"Points, Balance Earned",オーケー,PayPay Point,-,-,04849638820532084739
2025/11/21 18:37:44,"7,151",-,-,-,-,-,Payment,オーケー - 銀座,Credit Mastercard 5298,-,-,04849638820532084739
2025/11/21 18:14:51,-,12,-,-,-,-,"Points, Balance Earned",オーケー,PayPay Point,-,-,04849627026551750657
2025/11/21 18:14:51,778,-,-,-,-,-,Payment,オーケー - 銀座,Credit Mastercard 5298,-,-,04849627026551750657
